chara_id,label,name,name_en,image_file_name,chara_comment
5458,白藤葵,白藤葵,Aoi Shirafuji,181026_vote_129.png,ありがとうございます、お嬢様。…キミの想いを知ることができて、俺は幸福だよ
5459,葛目玲生,葛目玲生,Reo Kuzume,251009_kuzume_vote_akekis.png,いじらしくってかわいー（笑）うれしいって。もっとスキスキ聞かせろよ
5460,神堂春,神堂春,Haru Shindo,1812_vote_45.png,キミから愛を伝えてもらえるのが、何よりも嬉しい。何があってもずっと一緒だ。……愛してる
5461,橘駿一朗,橘駿一朗,Shunichiro Tachibana,1812_vote_03.png,また俺の煽り方を覚えたの？かわいいね。「駿一朗さん」って、もっと甘えて？
5462,菱川郁,菱川郁,Iku Hishikawa,251009_hishikawa_vote_akekis.png,私も【ヒロイン】を想ってるよ。きっと、今日も明日も、来年も再来年も、5年後も10年後も！
5463,八千草瑛希,八千草瑛希,Eiki Yachigusa,181026_vote_146.png,ワオ！　ありがとう！　どうしよう、すごく嬉しいなあ。僕も【ヒロイン】ちゃんのこと、大好きだよ！
5464,京橋克之,京橋克之,Katsuyuki Kyobashi,1812_vote_34.png,ありがとうございます。貴女がどれだけ私を悦ばせてくれているのか、ご存じですか？
5465,霞俊希,霞俊希,Toshiki Kasumi,201205_kasumi_vote_kymei.png,ありがとう。この気持ちは一生持っていく。今日の夢にも【ヒロイン】が出てきたらいいな
5466,大門十護,大門十護,Togo Daimon,231026_daimon_vote_ukari.png,充分想いは伝わっているが、【ヒロイン】の愛ならいくらでも欲しくなっちまう。欲張りな夫で悪いな
5467,相原恒星,相原恒星,Kosei Aihara,201205_kosei_vote_camps.png,ありがと。ちょっとリアクションに困るけど。…めちゃくちゃ、嬉しすぎて
5468,野村忠信,野村忠信,Tadanobu Nomura,1812_vote_33.png,わあ、ありがとう。こんなにずっと好きだって言ってくれて、幸せ者以外のなにものでもないよ。
5469,吾川映太郎,吾川映太郎,Eitaro Agawa,24_vote_ae0aa.png,君はどうしてこんなにも私を想ってくれるのだろう。まさに女神だ…これからは私が君を支えると誓うよ
5470,颯馬周介,颯馬周介,Shusuke Soma,181026_vote_140.png,ありがとうございます。貴女からの愛、しっかりと受け取りましたよ。あとでお礼させてくださいね
5471,窓鈴虫,窓鈴虫,Suzumu Mado,211028_suzumu_vote_skyu.png,あなたの本命、俺ってことね？…俺はどうかって？いやぁ……好きでもない女にこんな確認しないから
5472,京極千太郎,京極千太郎,Sentaro Kyogoku,191105_kyogoku_vote_kymei.png,はい、ありがとう。俺も好きです。これ以上は照れるの嫌なので勘弁…しなくていい。ずっと見てて
5473,加賀美和巳,加賀美和巳,Kazumi Kagami,231026_kagami_vote_doubt1.png,【ヒロイン】の愛情はたっぷり伝わってる。でも、俺は欲しがりだからもっとキミが欲しい…
5474,世良桜太朗,世良桜太朗,Sera Otaro,24_vote_sr0aa.png,ああもう、だいすき。俺を【ヒロイン】さんのものにして
5475,間宮春一,間宮春一,Haruichi Mamiya,231026_mamiya_vote_doubt1.png,アナタを喜ばせるのが私の望みですが、愛を伝えてもらうのも悪くないですね。もっと幸せにします
5476,黒澤透,黒澤透,Toru Kurosawa HLITF,1812_vote_30.png,【ヒロイン】さんが俺に！ありがとうございます！俺は幸せ者ですね！一緒に高みを目指しましょう！
5477,氷室征司,氷室征司,Masashi Himuro,1812_vote_35.png,ありがとう。俺の方がもっと好きだと思ってはいるが、こう大きな愛を伝えられると……嬉しい
5478,久遠開生,久遠開生,Kaisei Kuon,211028_kuon_vote_sgoku.png,君の愛、受け取った。俺からの愛はこの何倍もの大きさだから、受け止める準備しておいて
5479,五十嵐恒太,五十嵐恒太,Kota Igarashi,1812_vote_24.png,アナタの声援が一番デカいんだけど。恥ずかしい…けど、ありがとう。ちゃんと嬉しい
5480,難波仁,難波仁,Jin Namba,1812_vote_29.png,ひよっこだったのがこんな成長して…いい女に応援されたら、頑張るしかないか！最後まで見届けろよ
5481,鴻上大和,鴻上大和,Yamato Kougami MFW,181026_vote_36.png,ぶう子、ありがとな！ほんとお前は頼りになる嫁だよ。一生手放さねーからな
5482,桐谷冬馬,桐谷冬馬,Toma Kiriya,1812_vote_05.png,なに照れてんだよ。俺のこと、好きでたまんねーくせに。もっと俺を夢中にさせてみろ、【ヒロイン】
5483,江國楓,江國楓,Kaede Ekuni,211028_ekuni_vote_kymei.png,！？　俺を選んでくれたの？　俺のこと好きってこと？　俺も！！　大好き！！　もっと大好き！！
